id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Paper;68.0;1636.0;18284.0;-4512.0;2441.0;541.0;0
1;Mohammad;Paper;3288.0;1968.0;16536.0;-4496.0;2357.0;-411.0;103
2;Mohammad;Paper;11464.0;3096.0;17976.0;-4512.0;3928.0;-1194.0;207
3;Mohammad;Paper;5896.0;3444.0;18312.0;-4512.0;2610.0;-1294.0;310
4;Mohammad;Paper;3712.0;3620.0;18080.0;-4496.0;1610.0;59.0;412
5;Mohammad;Paper;-8328.0;2292.0;17300.0;-4480.0;4493.0;1524.0;516
6;Mohammad;Paper;-6112.0;1504.0;17952.0;-4528.0;2567.0;2229.0;619
7;Mohammad;Paper;-2764.0;1248.0;18544.0;-4496.0;2702.0;299.0;723
8;Mohammad;Paper;912.0;1932.0;17320.0;-4480.0;2415.0;-413.0;825
9;Mohammad;Paper;2296.0;1776.0;17840.0;-4512.0;2079.0;393.0;929
10;Mohammad;Paper;164.0;1876.0;17364.0;-4512.0;2300.0;-53.0;1032
11;Mohammad;Paper;700.0;1384.0;16784.0;-4512.0;2343.0;138.0;1135
12;Mohammad;Paper;3252.0;2080.0;18084.0;-4496.0;2349.0;300.0;1238
13;Mohammad;Paper;-704.0;1320.0;15992.0;-4512.0;2140.0;390.0;1341
14;Mohammad;Paper;3244.0;2308.0;19360.0;-4496.0;2763.0;161.0;1445
15;Mohammad;Paper;-696.0;1268.0;16216.0;-4480.0;1445.0;466.0;1547
