id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Paper;3256.0;800.0;17496.0;-4432.0;2450.0;349.0;0
1;Assem;Paper;2656.0;756.0;17420.0;-4448.0;2228.0;251.0;103
2;Assem;Paper;3448.0;1116.0;17400.0;-4416.0;2454.0;490.0;206
3;Assem;Paper;3932.0;988.0;17476.0;-4432.0;2617.0;296.0;309
4;Assem;Paper;2648.0;504.0;17268.0;-4416.0;3074.0;-592.0;412
5;Assem;Paper;4132.0;1088.0;17756.0;-4416.0;2209.0;73.0;516
6;Assem;Paper;2876.0;668.0;17428.0;-4400.0;2998.0;-939.0;619
7;Assem;Paper;3648.0;692.0;17888.0;-4400.0;1412.0;1409.0;722
8;Assem;Paper;3884.0;1068.0;17076.0;-4384.0;1714.0;648.0;825
9;Assem;Paper;3896.0;1160.0;18548.0;-4448.0;3120.0;-724.0;929
10;Assem;Paper;3616.0;684.0;17784.0;-4400.0;2765.0;-833.0;1032
11;Assem;Paper;2352.0;724.0;17600.0;-4432.0;3422.0;-1091.0;1134
12;Assem;Paper;2540.0;1104.0;16512.0;-4400.0;3297.0;293.0;1238
13;Assem;Paper;2068.0;712.0;18388.0;-4432.0;2411.0;830.0;1341
14;Assem;Paper;1504.0;956.0;17784.0;-4416.0;3109.0;-286.0;1445
15;Assem;Paper;1532.0;1184.0;17368.0;-4416.0;2821.0;-232.0;1548
16;Assem;Paper;3304.0;1236.0;17344.0;-4448.0;1881.0;94.0;1650
17;Assem;Paper;3528.0;1200.0;17012.0;-4400.0;2331.0;-22.0;1754
18;Assem;Paper;3908.0;948.0;17888.0;-4400.0;2286.0;-18.0;1857
19;Assem;Paper;4124.0;1116.0;16916.0;-4416.0;2505.0;-237.0;1961
