id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Paper;1180.0;636.0;17864.0;-4400.0;1687.0;751.0;0
1;Assem;Paper;2360.0;544.0;17168.0;-4416.0;2316.0;257.0;103
2;Assem;Paper;1440.0;620.0;18096.0;-4384.0;2379.0;112.0;206
3;Assem;Paper;2348.0;956.0;18668.0;-4400.0;2213.0;181.0;310
4;Assem;Paper;2340.0;756.0;17204.0;-4384.0;2472.0;128.0;413
5;Assem;Paper;4396.0;896.0;16628.0;-4432.0;2070.0;190.0;515
6;Assem;Paper;3148.0;472.0;17396.0;-4384.0;4126.0;-633.0;619
7;Assem;Paper;3616.0;784.0;17868.0;-4400.0;2198.0;-1530.0;722
8;Assem;Paper;3292.0;1364.0;18504.0;-4384.0;2834.0;-1658.0;826
9;Assem;Paper;2236.0;1052.0;16308.0;-4432.0;2518.0;-116.0;929
10;Assem;Paper;1056.0;1320.0;16600.0;-4416.0;2758.0;-287.0;1031
11;Assem;Paper;1672.0;1032.0;16716.0;-4400.0;4640.0;172.0;1135
12;Assem;Paper;1728.0;1308.0;17844.0;-4432.0;2832.0;689.0;1238
13;Assem;Paper;2488.0;2140.0;17548.0;-4416.0;4538.0;-576.0;1342
14;Assem;Paper;-532.0;1884.0;19176.0;-4400.0;1679.0;1020.0;1445
15;Assem;Paper;1988.0;1576.0;17256.0;-4432.0;1638.0;904.0;1548
16;Assem;Paper;4120.0;1652.0;18952.0;-4384.0;2366.0;200.0;1651
17;Assem;Paper;3036.0;1984.0;17552.0;-4400.0;2234.0;57.0;1754
18;Assem;Paper;3020.0;1524.0;17456.0;-4416.0;1998.0;386.0;1858
