id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Yehia;Paper;-4484.0;1268.0;18648.0;-4512.0;2675.0;579.0;0
1;Yehia;Paper;-3328.0;1384.0;18096.0;-4496.0;2476.0;1340.0;103
2;Yehia;Paper;-1888.0;1880.0;16676.0;-4496.0;3145.0;1016.0;206
3;Yehia;Paper;-144.0;2548.0;18068.0;-4496.0;2079.0;1540.0;310
4;Yehia;Paper;276.0;3072.0;16936.0;-4512.0;665.0;2542.0;413
5;Yehia;Paper;-1792.0;2968.0;17356.0;-4512.0;-132.0;2429.0;516
6;Yehia;Paper;-3680.0;3376.0;17928.0;-4496.0;-235.0;1202.0;619
7;Yehia;Paper;-1460.0;3888.0;16956.0;-4496.0;-1153.0;320.0;723
8;Yehia;Paper;-868.0;5812.0;19808.0;-4512.0;-1966.0;-1858.0;826
9;Yehia;Paper;-4564.0;4228.0;17120.0;-4496.0;309.0;62.0;929
10;Yehia;Paper;436.0;5896.0;14756.0;-4512.0;-124.0;237.0;1032
11;Yehia;Paper;-520.0;8352.0;21192.0;-4496.0;1509.0;360.0;1135
12;Yehia;Paper;-12212.0;5776.0;15804.0;-4496.0;-2450.0;3691.0;1239
13;Yehia;Paper;1344.0;4252.0;19372.0;-4480.0;2875.0;1239.0;1342
14;Yehia;Paper;-568.0;1628.0;16520.0;-4512.0;2843.0;1093.0;1445
15;Yehia;Paper;128.0;2052.0;17668.0;-4496.0;2627.0;991.0;1548
16;Yehia;Paper;-908.0;1768.0;18132.0;-4512.0;2608.0;814.0;1651
