id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Yehia;Paper;-952.0;644.0;17668.0;-4496.0;2763.0;1238.0;0
1;Yehia;Paper;-348.0;952.0;17428.0;-4480.0;2343.0;605.0;103
2;Yehia;Paper;3528.0;1828.0;18324.0;-4496.0;2209.0;1068.0;207
3;Yehia;Paper;7348.0;4004.0;18328.0;-4496.0;1449.0;1966.0;310
4;Yehia;Paper;-1348.0;4656.0;17104.0;-4480.0;-250.0;1723.0;412
5;Yehia;Paper;-2344.0;5740.0;18296.0;-4480.0;92.0;1327.0;516
6;Yehia;Paper;-1356.0;6116.0;17820.0;-4528.0;-1655.0;4037.0;619
7;Yehia;Paper;-6388.0;6576.0;16472.0;-4512.0;-2002.0;1668.0;723
8;Yehia;Paper;-7388.0;5016.0;13168.0;-4480.0;-2852.0;1375.0;826
9;Yehia;Paper;-2760.0;3012.0;14004.0;-4512.0;-1572.0;549.0;929
10;Yehia;Paper;-18688.0;-1916.0;20860.0;-4480.0;-988.0;1980.0;1032
11;Yehia;Paper;-4664.0;-700.0;15812.0;-4496.0;1497.0;1551.0;1135
12;Yehia;Paper;-1200.0;204.0;18444.0;-4496.0;2107.0;-322.0;1239
13;Yehia;Paper;-2860.0;-420.0;15948.0;-4512.0;2082.0;-841.0;1342
14;Yehia;Paper;-4204.0;-636.0;15964.0;-4512.0;2102.0;551.0;1445
15;Yehia;Paper;-3244.0;-704.0;17228.0;-4496.0;1755.0;-1039.0;1548
16;Yehia;Paper;-3672.0;-884.0;18036.0;-4528.0;1713.0;-17.0;1651
17;Yehia;Paper;-4752.0;-672.0;17956.0;-4480.0;1620.0;27.0;1755
18;Yehia;Paper;-1728.0;-456.0;17668.0;-4480.0;1907.0;-183.0;1858
19;Yehia;Paper;2820.0;-1028.0;16744.0;-4448.0;2244.0;-1737.0;1961
