id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Paper;1728.0;1312.0;17520.0;-4512.0;2496.0;782.0;0
1;Mohammad;Paper;-56.0;1104.0;19256.0;-4496.0;2195.0;-596.0;102
2;Mohammad;Paper;3276.0;868.0;15536.0;-4512.0;1800.0;1473.0;205
3;Mohammad;Paper;6752.0;920.0;17820.0;-4496.0;3496.0;-184.0;309
4;Mohammad;Paper;10480.0;2872.0;17268.0;-4512.0;1989.0;1546.0;411
5;Mohammad;Paper;4648.0;4368.0;16964.0;-4528.0;6360.0;2385.0;515
6;Mohammad;Paper;-7508.0;3508.0;19464.0;-4496.0;2445.0;1578.0;618
7;Mohammad;Paper;-7964.0;2672.0;16768.0;-4512.0;5125.0;1722.0;721
8;Mohammad;Paper;-4384.0;1696.0;17920.0;-4528.0;1310.0;874.0;825
9;Mohammad;Paper;500.0;2592.0;17176.0;-4512.0;2480.0;-87.0;927
10;Mohammad;Paper;1624.0;2392.0;17664.0;-4496.0;2730.0;69.0;1031
11;Mohammad;Paper;348.0;2080.0;17376.0;-4512.0;1803.0;-108.0;1134
