id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Scissors;4328.0;-1872.0;16964.0;-4400.0;2161.0;863.0;0
1;Assem;Scissors;4360.0;-1908.0;16144.0;-4416.0;2954.0;160.0;103
2;Assem;Scissors;2296.0;-1960.0;12656.0;-4416.0;2795.0;441.0;206
3;Assem;Scissors;4120.0;-1060.0;14576.0;-4432.0;3315.0;448.0;310
4;Assem;Scissors;6980.0;-1540.0;18232.0;-4400.0;4062.0;1014.0;412
5;Assem;Scissors;5332.0;-860.0;20316.0;-4416.0;3386.0;644.0;516
6;Assem;Scissors;2796.0;-1932.0;13628.0;-4416.0;2449.0;1596.0;619
7;Assem;Scissors;5676.0;-644.0;17976.0;-4368.0;6352.0;254.0;723
8;Assem;Scissors;3396.0;632.0;18000.0;-4416.0;6116.0;240.0;826
9;Assem;Scissors;1060.0;708.0;16652.0;-4400.0;393.0;922.0;928
10;Assem;Scissors;6052.0;224.0;14476.0;-4416.0;5765.0;505.0;1032
11;Assem;Scissors;4736.0;1384.0;17748.0;-4432.0;5910.0;934.0;1135
12;Assem;Scissors;4228.0;2412.0;21588.0;-4416.0;4132.0;99.0;1239
13;Assem;Scissors;3560.0;2276.0;18272.0;-4432.0;2138.0;487.0;1341
14;Assem;Scissors;4324.0;2252.0;17064.0;-4416.0;1716.0;256.0;1444
15;Assem;Scissors;4024.0;1932.0;16824.0;-4416.0;2868.0;52.0;1548
16;Assem;Scissors;3848.0;2292.0;17260.0;-4400.0;2003.0;391.0;1651
