id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Yehia;Scissors;-356.0;-2816.0;-14688.0;-4480.0;1476.0;559.0;0
1;Yehia;Scissors;-1428.0;-2856.0;-15080.0;-4464.0;2670.0;-112.0;103
2;Yehia;Scissors;-1196.0;-2608.0;-12196.0;-4496.0;3612.0;-10.0;207
3;Yehia;Scissors;-88.0;-3160.0;-13940.0;-4480.0;5855.0;132.0;310
4;Yehia;Scissors;-1252.0;-2812.0;-8636.0;-4480.0;6902.0;-581.0;412
5;Yehia;Scissors;-2400.0;-1532.0;-7372.0;-4496.0;-7326.0;-3998.0;516
6;Yehia;Scissors;-4136.0;2380.0;-8112.0;-4496.0;-13037.0;-1243.0;619
7;Yehia;Scissors;-2788.0;6152.0;-20976.0;-4496.0;-14507.0;-3943.0;723
8;Yehia;Scissors;-2356.0;5808.0;-22056.0;-4464.0;-8774.0;-1565.0;826
9;Yehia;Scissors;-3012.0;7224.0;-15552.0;-4496.0;-5046.0;58.0;929
10;Yehia;Scissors;-3192.0;8620.0;-14072.0;-4480.0;-70.0;1291.0;1033
11;Yehia;Scissors;-1844.0;8964.0;-10148.0;-4464.0;2838.0;-292.0;1135
12;Yehia;Scissors;-2720.0;8332.0;-14932.0;-4512.0;3426.0;159.0;1239
13;Yehia;Scissors;-3044.0;8408.0;-13532.0;-4480.0;4227.0;518.0;1342
