id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Wizard #1;Expelliarmus;492.0;612.0;20352.0;-1328.0;-628.0;8.0;0
1;Wizard #1;Expelliarmus;508.0;572.0;20252.0;-1328.0;-623.0;14.0;102
2;Wizard #1;Expelliarmus;472.0;564.0;20384.0;-1344.0;-632.0;1.0;206
3;Wizard #1;Expelliarmus;412.0;532.0;20364.0;-1312.0;-658.0;18.0;309
4;Wizard #1;Expelliarmus;-96.0;540.0;20424.0;-1328.0;-589.0;-77.0;412
5;Wizard #1;Expelliarmus;436.0;496.0;20508.0;-1344.0;-656.0;35.0;515
6;Wizard #1;Expelliarmus;380.0;472.0;20364.0;-1312.0;-632.0;30.0;618
7;Wizard #1;Expelliarmus;464.0;528.0;20460.0;-1296.0;-645.0;43.0;721
8;Wizard #1;Expelliarmus;432.0;524.0;20464.0;-1280.0;-628.0;6.0;824
9;Wizard #1;Expelliarmus;416.0;544.0;20488.0;-1328.0;-648.0;8.0;928
10;Wizard #1;Expelliarmus;336.0;624.0;20340.0;-1344.0;-655.0;48.0;1030
11;Wizard #1;Expelliarmus;436.0;560.0;20388.0;-1328.0;-632.0;28.0;1134
12;Wizard #1;Expelliarmus;540.0;572.0;20424.0;-1328.0;-620.0;33.0;1237
13;Wizard #1;Expelliarmus;388.0;576.0;20368.0;-1312.0;-630.0;30.0;1339
14;Wizard #1;Expelliarmus;396.0;492.0;20504.0;-1328.0;-649.0;24.0;1443
15;Wizard #1;Expelliarmus;360.0;484.0;20772.0;-1328.0;-651.0;152.0;1546
16;Wizard #1;Expelliarmus;368.0;552.0;20376.0;-1296.0;-614.0;17.0;1649
17;Wizard #1;Expelliarmus;524.0;496.0;20428.0;-1312.0;-645.0;55.0;1752
18;Wizard #1;Expelliarmus;448.0;516.0;20192.0;-1344.0;-635.0;41.0;1855
19;Wizard #1;Expelliarmus;368.0;528.0;20472.0;-1328.0;-615.0;26.0;1958
