id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Yehia;Rock;-3340.0;3060.0;17352.0;-4480.0;3000.0;-157.0;0
1;Yehia;Rock;-5340.0;2824.0;16884.0;-4496.0;3309.0;-91.0;103
2;Yehia;Rock;-3240.0;3288.0;16124.0;-4496.0;3380.0;44.0;206
3;Yehia;Rock;-3320.0;3616.0;16444.0;-4480.0;3505.0;1.0;310
4;Yehia;Rock;-5316.0;3240.0;16660.0;-4496.0;3973.0;479.0;412
5;Yehia;Rock;-7312.0;3364.0;18308.0;-4480.0;5235.0;-518.0;516
6;Yehia;Rock;-4880.0;3896.0;22124.0;-4480.0;1875.0;1610.0;619
7;Yehia;Rock;-800.0;4760.0;24324.0;-4512.0;-4032.0;2390.0;722
8;Yehia;Rock;8.0;4108.0;21080.0;-4480.0;-8815.0;2847.0;826
9;Yehia;Rock;-452.0;2492.0;16452.0;-4496.0;-12780.0;3309.0;928
10;Yehia;Rock;-1596.0;520.0;11920.0;-4512.0;-11305.0;2604.0;1032
11;Yehia;Rock;-3856.0;-1184.0;4420.0;-4480.0;-5544.0;1518.0;1135
12;Yehia;Rock;-12316.0;-2896.0;3084.0;-4480.0;3291.0;-1174.0;1239
13;Yehia;Rock;-11164.0;792.0;7452.0;-4512.0;12999.0;-5560.0;1342
14;Yehia;Rock;-18284.0;2560.0;16168.0;-4496.0;16237.0;-9095.0;1445
15;Yehia;Rock;-9396.0;4208.0;19488.0;-4464.0;11531.0;-2159.0;1548
16;Yehia;Rock;-7352.0;3052.0;20676.0;-4496.0;4128.0;1414.0;1651
17;Yehia;Rock;5292.0;4844.0;18196.0;-4496.0;1211.0;2260.0;1755
18;Yehia;Rock;-468.0;2052.0;15260.0;-4480.0;836.0;-1086.0;1858
