id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Rock;360.0;1564.0;17036.0;-4576.0;2811.0;-23.0;0
1;Mohammad;Rock;-748.0;1216.0;19188.0;-4576.0;1741.0;-2745.0;104
2;Mohammad;Rock;-15052.0;1664.0;17312.0;-4544.0;5540.0;-6197.0;207
3;Mohammad;Rock;-1564.0;7828.0;24460.0;-4592.0;-4684.0;-6569.0;311
4;Mohammad;Rock;11784.0;8960.0;22936.0;-4560.0;-18242.0;-6234.0;413
5;Mohammad;Rock;17996.0;4432.0;19624.0;-4560.0;-25110.0;-4338.0;516
6;Mohammad;Rock;11028.0;-2164.0;9084.0;-4576.0;-22546.0;-10794.0;620
7;Mohammad;Rock;4156.0;-8820.0;3244.0;-4576.0;-13741.0;-13677.0;723
8;Mohammad;Rock;1416.0;-11864.0;920.0;-4576.0;-5830.0;-18036.0;827
9;Mohammad;Rock;-2228.0;-12196.0;-1276.0;-4560.0;6481.0;-17761.0;929
10;Mohammad;Rock;-4780.0;-9064.0;-316.0;-4576.0;18860.0;-8913.0;1033
11;Mohammad;Rock;-9976.0;-2236.0;6456.0;-4560.0;30435.0;-5118.0;1136
12;Mohammad;Rock;-11620.0;1828.0;15784.0;-4576.0;29086.0;21.0;1239
13;Mohammad;Rock;-19276.0;4568.0;16236.0;-4576.0;22916.0;-12021.0;1343
14;Mohammad;Rock;-9280.0;11620.0;27824.0;-4560.0;13583.0;-10413.0;1445
15;Mohammad;Rock;7044.0;8120.0;20116.0;-4592.0;755.0;-8597.0;1549
16;Mohammad;Rock;9596.0;2644.0;16048.0;-4608.0;592.0;-3654.0;1652
17;Mohammad;Rock;-360.0;1160.0;14744.0;-4592.0;3116.0;-862.0;1756
