id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Rock;1424.0;904.0;15812.0;-4432.0;2520.0;92.0;0
1;Assem;Rock;936.0;1044.0;16620.0;-4384.0;2364.0;93.0;104
2;Assem;Rock;1208.0;1200.0;18028.0;-4384.0;3337.0;261.0;206
3;Assem;Rock;-2644.0;1028.0;19940.0;-4416.0;1699.0;1276.0;310
4;Assem;Rock;344.0;2488.0;19848.0;-4400.0;-10150.0;3400.0;413
5;Assem;Rock;4508.0;1060.0;23052.0;-4432.0;-15126.0;5792.0;517
6;Assem;Rock;4388.0;-2788.0;15060.0;-4416.0;-19340.0;4884.0;620
7;Assem;Rock;2076.0;-7812.0;10772.0;-4416.0;-14244.0;2951.0;722
8;Assem;Rock;-3392.0;-11040.0;6592.0;-4448.0;-8335.0;802.0;826
9;Assem;Rock;-1412.0;-11816.0;10068.0;-4416.0;-3373.0;-3421.0;929
10;Assem;Rock;-5884.0;-12644.0;5432.0;-4416.0;-276.0;-1745.0;1033
11;Assem;Rock;-5824.0;-11836.0;7676.0;-4400.0;4685.0;-4206.0;1136
12;Assem;Rock;-6400.0;-10636.0;6536.0;-4400.0;8315.0;-8550.0;1239
13;Assem;Rock;-8080.0;-7744.0;6800.0;-4416.0;14458.0;-12821.0;1343
14;Assem;Rock;-9804.0;-4536.0;13352.0;-4416.0;18831.0;-16030.0;1445
15;Assem;Rock;-6388.0;120.0;28468.0;-4416.0;20287.0;-9266.0;1549
16;Assem;Rock;1616.0;1860.0;18892.0;-4448.0;8887.0;-5424.0;1652
17;Assem;Rock;5248.0;2280.0;21644.0;-4416.0;4266.0;560.0;1756
18;Assem;Rock;4540.0;2208.0;21864.0;-4432.0;2134.0;-820.0;1859
19;Assem;Rock;-224.0;708.0;16204.0;-4416.0;2129.0;-1024.0;1962
20;Assem;Rock;2452.0;1148.0;16836.0;-4416.0;1799.0;-650.0;2065
