id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Rock;1352.0;-7452.0;15736.0;-4608.0;2225.0;-154.0;0
1;Mohammad;Rock;2028.0;-7208.0;16844.0;-4592.0;2455.0;244.0;104
2;Mohammad;Rock;2152.0;-6152.0;19968.0;-4608.0;312.0;-78.0;207
3;Mohammad;Rock;10328.0;-5656.0;19692.0;-4592.0;-8815.0;2657.0;310
4;Mohammad;Rock;76.0;-5524.0;-1216.0;-4608.0;-3618.0;-5033.0;413
5;Mohammad;Rock;-4776.0;-1468.0;1360.0;-4624.0;27049.0;-16670.0;517
6;Mohammad;Rock;-16208.0;2748.0;32767.0;-4592.0;23627.0;-13444.0;620
7;Mohammad;Rock;-9544.0;6568.0;18884.0;-4640.0;10034.0;-6226.0;723
8;Mohammad;Rock;-6044.0;8744.0;19572.0;-4592.0;15453.0;-5320.0;826
9;Mohammad;Rock;-4132.0;15992.0;31484.0;-4576.0;-6361.0;-4929.0;929
10;Mohammad;Rock;21780.0;17632.0;21628.0;-4576.0;-29806.0;2188.0;1033
11;Mohammad;Rock;20140.0;2488.0;7272.0;-4592.0;-28563.0;781.0;1136
12;Mohammad;Rock;15248.0;-5032.0;2452.0;-4608.0;-15530.0;-5378.0;1240
13;Mohammad;Rock;2296.0;-6236.0;-1640.0;-4576.0;5768.0;-16590.0;1342
