id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Rock;76.0;1424.0;17324.0;-4592.0;2372.0;60.0;0
1;Mohammad;Rock;-840.0;1128.0;16776.0;-4544.0;2921.0;-171.0;104
2;Mohammad;Rock;-7368.0;900.0;11164.0;-4528.0;7900.0;-6497.0;206
3;Mohammad;Rock;-7816.0;9232.0;29292.0;-4576.0;5747.0;-6208.0;310
4;Mohammad;Rock;5476.0;11648.0;29376.0;-4592.0;-18715.0;773.0;413
5;Mohammad;Rock;5888.0;6048.0;19256.0;-4560.0;-25047.0;-404.0;517
6;Mohammad;Rock;10048.0;216.0;16072.0;-4576.0;-27333.0;154.0;619
7;Mohammad;Rock;8600.0;-6020.0;4696.0;-4576.0;-21951.0;-4678.0;722
8;Mohammad;Rock;3036.0;-10152.0;-772.0;-4560.0;-9154.0;-10666.0;826
9;Mohammad;Rock;-2632.0;-10360.0;204.0;-4560.0;3074.0;-14413.0;929
10;Mohammad;Rock;-12096.0;-8224.0;2180.0;-4608.0;12538.0;-15646.0;1033
11;Mohammad;Rock;-10620.0;-4680.0;8600.0;-4544.0;21146.0;-14161.0;1135
12;Mohammad;Rock;-6548.0;276.0;11320.0;-4576.0;24432.0;-14013.0;1238
13;Mohammad;Rock;-9584.0;5496.0;18020.0;-4592.0;27280.0;-14571.0;1342
14;Mohammad;Rock;-10628.0;8384.0;31532.0;-4592.0;9193.0;-11061.0;1445
15;Mohammad;Rock;-844.0;9604.0;18624.0;-4576.0;-2816.0;-6022.0;1549
16;Mohammad;Rock;11288.0;3636.0;17004.0;-4560.0;-3756.0;-2844.0;1651
