id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Yehia;Rock;-4864.0;1444.0;17132.0;-4480.0;2536.0;-519.0;0
1;Yehia;Rock;-4944.0;1380.0;16560.0;-4496.0;2521.0;-611.0;103
2;Yehia;Rock;-5360.0;1428.0;16948.0;-4448.0;2707.0;24.0;207
3;Yehia;Rock;-5468.0;1332.0;17004.0;-4496.0;2562.0;520.0;310
4;Yehia;Rock;-5300.0;1648.0;17536.0;-4480.0;1755.0;125.0;414
5;Yehia;Rock;-5384.0;1328.0;17004.0;-4512.0;1719.0;-92.0;516
6;Yehia;Rock;-4172.0;1444.0;16260.0;-4496.0;2041.0;298.0;620
7;Yehia;Rock;-4940.0;1472.0;16544.0;-4480.0;2952.0;-1576.0;723
8;Yehia;Rock;-3932.0;2056.0;17308.0;-4512.0;3680.0;-1498.0;826
9;Yehia;Rock;-5868.0;2148.0;16088.0;-4464.0;3846.0;-3767.0;930
10;Yehia;Rock;-6252.0;2084.0;14312.0;-4496.0;4994.0;-7139.0;1033
11;Yehia;Rock;-4832.0;3028.0;16168.0;-4480.0;6799.0;-9213.0;1136
12;Yehia;Rock;-2432.0;4276.0;17024.0;-4448.0;6687.0;-7574.0;1239
13;Yehia;Rock;-732.0;6068.0;18216.0;-4480.0;6272.0;-6219.0;1342
14;Yehia;Rock;3184.0;6460.0;20696.0;-4480.0;-1779.0;-953.0;1446
15;Yehia;Rock;4188.0;6432.0;20492.0;-4496.0;-6836.0;1492.0;1549
16;Yehia;Rock;4684.0;5868.0;27640.0;-4496.0;-11733.0;3714.0;1652
17;Yehia;Rock;6652.0;4384.0;18500.0;-4480.0;-20057.0;4242.0;1755
18;Yehia;Rock;9740.0;4148.0;7276.0;-4480.0;-22132.0;7523.0;1859
19;Yehia;Rock;-1396.0;5672.0;-3904.0;-4512.0;-5478.0;1892.0;1962
20;Yehia;Rock;-30016.0;7136.0;8316.0;-4496.0;13152.0;1737.0;2065
21;Yehia;Rock;-23976.0;7668.0;10312.0;-4480.0;27410.0;-12097.0;2169
22;Yehia;Rock;-17268.0;12640.0;32767.0;-4480.0;24026.0;-24333.0;2272
23;Yehia;Rock;6240.0;9708.0;25748.0;-4480.0;3839.0;-23448.0;2375
24;Yehia;Rock;9488.0;6204.0;15932.0;-4448.0;675.0;-6599.0;2478
