id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Paper;188.0;1184.0;16344.0;-4496.0;2066.0;737.0;0
1;Mohammad;Paper;-2084.0;740.0;17672.0;-4512.0;2076.0;242.0;103
2;Mohammad;Paper;-4056.0;1636.0;19280.0;-4496.0;2901.0;-638.0;207
3;Mohammad;Paper;-9728.0;1696.0;17060.0;-4512.0;-189.0;1424.0;309
4;Mohammad;Paper;-7024.0;2404.0;18920.0;-4464.0;2758.0;2397.0;412
5;Mohammad;Paper;-2140.0;3792.0;14572.0;-4512.0;3735.0;-1712.0;516
6;Mohammad;Paper;6232.0;5560.0;17628.0;-4512.0;3631.0;-3500.0;619
7;Mohammad;Paper;10276.0;2768.0;15672.0;-4512.0;1118.0;-1459.0;723
8;Mohammad;Paper;7700.0;1240.0;16568.0;-4496.0;2339.0;536.0;825
9;Mohammad;Paper;-620.0;64.0;17336.0;-4480.0;2375.0;-208.0;928
10;Mohammad;Paper;-796.0;496.0;17924.0;-4464.0;2944.0;681.0;1032
11;Mohammad;Paper;3036.0;1144.0;17504.0;-4480.0;1916.0;428.0;1134
12;Mohammad;Paper;644.0;672.0;16912.0;-4480.0;2901.0;694.0;1238
13;Mohammad;Paper;-1048.0;344.0;17088.0;-4496.0;2674.0;817.0;1341
14;Mohammad;Paper;668.0;960.0;18232.0;-4480.0;2154.0;-2.0;1445
