id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Yehia;Paper;-1376.0;1980.0;17480.0;-4496.0;2229.0;-518.0;0
1;Yehia;Paper;-1736.0;2196.0;18004.0;-4512.0;2136.0;-1031.0;103
2;Yehia;Paper;-4244.0;2268.0;17416.0;-4512.0;2233.0;-916.0;207
3;Yehia;Paper;-6000.0;3420.0;17096.0;-4512.0;2202.0;-697.0;310
4;Yehia;Paper;-4724.0;4692.0;14388.0;-4496.0;2955.0;181.0;412
5;Yehia;Paper;-2656.0;6800.0;16196.0;-4512.0;2976.0;1679.0;516
6;Yehia;Paper;-3340.0;7012.0;18768.0;-4512.0;2703.0;-138.0;619
7;Yehia;Paper;-3788.0;7216.0;18748.0;-4480.0;1314.0;-2430.0;723
8;Yehia;Paper;7024.0;9872.0;13968.0;-4528.0;2233.0;-2930.0;826
9;Yehia;Paper;11208.0;4540.0;17652.0;-4512.0;3268.0;-1537.0;930
10;Yehia;Paper;2160.0;1564.0;17468.0;-4512.0;2883.0;-233.0;1032
11;Yehia;Paper;-1712.0;372.0;16752.0;-4528.0;1871.0;-9.0;1135
12;Yehia;Paper;-372.0;728.0;17072.0;-4528.0;2127.0;-445.0;1239
13;Yehia;Paper;-680.0;308.0;16808.0;-4512.0;1996.0;-634.0;1342
