id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Yehia;Paper;-1388.0;1196.0;19020.0;-4544.0;2665.0;-306.0;0
1;Yehia;Paper;-4664.0;1592.0;17680.0;-4496.0;2354.0;-557.0;103
2;Yehia;Paper;-4352.0;2748.0;16680.0;-4512.0;3124.0;-394.0;206
3;Yehia;Paper;-6720.0;3316.0;16276.0;-4496.0;4703.0;-679.0;310
4;Yehia;Paper;-7616.0;3400.0;18988.0;-4496.0;5872.0;-1960.0;413
5;Yehia;Paper;-7064.0;6296.0;17088.0;-4480.0;4650.0;-2743.0;517
6;Yehia;Paper;-1388.0;8432.0;17188.0;-4512.0;3499.0;-3856.0;619
7;Yehia;Paper;6136.0;9984.0;11872.0;-4480.0;2319.0;-4221.0;722
8;Yehia;Paper;10416.0;3836.0;16408.0;-4496.0;3962.0;-831.0;826
9;Yehia;Paper;8332.0;1600.0;19844.0;-4496.0;2636.0;-58.0;929
10;Yehia;Paper;240.0;216.0;19020.0;-4480.0;3683.0;-782.0;1033
11;Yehia;Paper;-652.0;-272.0;17208.0;-4512.0;1770.0;275.0;1135
12;Yehia;Paper;-2704.0;-160.0;17748.0;-4528.0;1974.0;-37.0;1239
13;Yehia;Paper;1048.0;240.0;18556.0;-4512.0;1522.0;172.0;1342
