id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Paper;-76.0;776.0;17892.0;-4416.0;2536.0;10.0;0
1;Assem;Paper;-240.0;780.0;17736.0;-4432.0;2468.0;0.0;103
2;Assem;Paper;-720.0;772.0;18292.0;-4416.0;2772.0;-115.0;206
3;Assem;Paper;-2392.0;1060.0;16988.0;-4432.0;2891.0;-335.0;310
4;Assem;Paper;-3380.0;832.0;17048.0;-4416.0;3146.0;549.0;413
5;Assem;Paper;-1464.0;1756.0;17500.0;-4416.0;3453.0;362.0;516
6;Assem;Paper;-2020.0;980.0;16396.0;-4416.0;3173.0;2613.0;619
7;Assem;Paper;-2604.0;632.0;15908.0;-4416.0;4071.0;1880.0;722
8;Assem;Paper;-924.0;976.0;12916.0;-4432.0;3792.0;1164.0;826
9;Assem;Paper;772.0;1948.0;15048.0;-4432.0;2611.0;-156.0;929
10;Assem;Paper;-560.0;1776.0;19024.0;-4448.0;3096.0;346.0;1031
11;Assem;Paper;1656.0;1832.0;18464.0;-4400.0;2434.0;440.0;1135
12;Assem;Paper;-588.0;936.0;17168.0;-4384.0;2787.0;-237.0;1238
13;Assem;Paper;-2244.0;1072.0;17148.0;-4416.0;1910.0;94.0;1342
