id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Paper;180.0;244.0;16864.0;-4432.0;2332.0;390.0;0
1;Assem;Paper;-428.0;152.0;18108.0;-4448.0;2620.0;70.0;103
2;Assem;Paper;-660.0;-104.0;17132.0;-4416.0;2537.0;-162.0;207
3;Assem;Paper;-2776.0;72.0;16952.0;-4416.0;2658.0;-352.0;309
4;Assem;Paper;-1392.0;280.0;17404.0;-4432.0;2472.0;155.0;413
5;Assem;Paper;-2260.0;220.0;17700.0;-4416.0;1645.0;1233.0;516
6;Assem;Paper;-1892.0;100.0;16216.0;-4400.0;2161.0;2108.0;619
7;Assem;Paper;-2544.0;-88.0;17820.0;-4384.0;2455.0;2937.0;723
8;Assem;Paper;-1556.0;-116.0;16816.0;-4416.0;3879.0;1776.0;825
9;Assem;Paper;-136.0;772.0;18424.0;-4416.0;3836.0;1856.0;929
10;Assem;Paper;-1336.0;1560.0;17664.0;-4400.0;5107.0;478.0;1032
11;Assem;Paper;1604.0;1832.0;18020.0;-4400.0;3323.0;719.0;1135
12;Assem;Paper;-368.0;1128.0;17760.0;-4416.0;2133.0;611.0;1239
13;Assem;Paper;-2256.0;788.0;17860.0;-4416.0;1921.0;389.0;1341
