id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Yehia;Rock;-8208.0;-3480.0;15872.0;-4448.0;2535.0;794.0;0
1;Yehia;Rock;-7876.0;-3412.0;15460.0;-4464.0;2523.0;531.0;104
2;Yehia;Rock;-7296.0;-3456.0;14236.0;-4464.0;3514.0;-23.0;207
3;Yehia;Rock;-3808.0;-2504.0;16720.0;-4480.0;5682.0;12356.0;311
4;Yehia;Rock;-21988.0;-2752.0;14476.0;-4448.0;-10071.0;32767.0;413
5;Yehia;Rock;-26736.0;-2632.0;-80.0;-4480.0;-10732.0;17986.0;516
6;Yehia;Rock;-18688.0;-1760.0;-1628.0;-4480.0;-2422.0;10992.0;620
7;Yehia;Rock;-11808.0;-3228.0;-6760.0;-4448.0;5728.0;6534.0;723
8;Yehia;Rock;-2904.0;-4992.0;-10404.0;-4480.0;16289.0;-17.0;827
9;Yehia;Rock;6700.0;-296.0;-3232.0;-4448.0;32361.0;-967.0;930
10;Yehia;Rock;8984.0;2860.0;15968.0;-4448.0;32079.0;-2649.0;1034
11;Yehia;Rock;-1492.0;8508.0;32767.0;-4448.0;22631.0;-5858.0;1136
12;Yehia;Rock;-5592.0;13172.0;32767.0;-4480.0;1969.0;-10906.0;1239
13;Yehia;Rock;-8552.0;13768.0;32767.0;-4448.0;-16683.0;-14537.0;1343
14;Yehia;Rock;-14568.0;-92.0;1348.0;-4448.0;-17129.0;2945.0;1446
15;Yehia;Rock;-7380.0;-4516.0;2172.0;-4480.0;-367.0;1562.0;1550
16;Yehia;Rock;-1280.0;-5376.0;13996.0;-4480.0;4679.0;4237.0;1653
17;Yehia;Rock;-2328.0;-5956.0;18432.0;-4432.0;3639.0;3929.0;1755
18;Yehia;Rock;-3876.0;-5728.0;16944.0;-4432.0;3800.0;7973.0;1859
19;Yehia;Rock;-4308.0;-4808.0;19196.0;-4480.0;3586.0;2652.0;1962
