id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Rock;5264.0;408.0;17692.0;-4416.0;2329.0;148.0;0
1;Assem;Rock;4044.0;248.0;17300.0;-4400.0;2306.0;528.0;103
2;Assem;Rock;3820.0;132.0;16692.0;-4416.0;2236.0;255.0;206
3;Assem;Rock;4504.0;284.0;17272.0;-4416.0;2092.0;790.0;309
4;Assem;Rock;4904.0;220.0;16364.0;-4432.0;2412.0;551.0;413
5;Assem;Rock;3252.0;56.0;16852.0;-4416.0;2603.0;579.0;515
6;Assem;Rock;3312.0;-20.0;16136.0;-4416.0;2795.0;205.0;619
7;Assem;Rock;6192.0;208.0;15708.0;-4432.0;3592.0;857.0;722
8;Assem;Rock;6804.0;1624.0;19756.0;-4416.0;4255.0;1915.0;825
9;Assem;Rock;7368.0;2268.0;25468.0;-4432.0;-3245.0;8446.0;928
10;Assem;Rock;-3276.0;-172.0;24392.0;-4416.0;-15389.0;17726.0;1031
11;Assem;Rock;-13692.0;-4848.0;18972.0;-4448.0;-15035.0;26356.0;1135
12;Assem;Rock;-13764.0;-7056.0;9328.0;-4432.0;-13362.0;24795.0;1238
13;Assem;Rock;-9092.0;-10512.0;5436.0;-4416.0;-4078.0;16304.0;1341
14;Assem;Rock;-3404.0;-13496.0;-236.0;-4448.0;2660.0;10272.0;1444
15;Assem;Rock;-232.0;-13400.0;1312.0;-4432.0;12520.0;4285.0;1547
16;Assem;Rock;4136.0;-11248.0;2668.0;-4432.0;22077.0;-5250.0;1651
17;Assem;Rock;1372.0;-7452.0;18788.0;-4416.0;23112.0;-7365.0;1754
18;Assem;Rock;3808.0;-2724.0;10520.0;-4416.0;24387.0;-11842.0;1857
19;Assem;Rock;6432.0;1808.0;20016.0;-4464.0;20983.0;-10671.0;1960
20;Assem;Rock;3580.0;2324.0;25052.0;-4432.0;11393.0;-3466.0;2064
21;Assem;Rock;4796.0;2492.0;20388.0;-4432.0;8321.0;-2488.0;2167
22;Assem;Rock;-2528.0;984.0;16952.0;-4448.0;1186.0;989.0;2270
23;Assem;Rock;884.0;832.0;17468.0;-4432.0;2393.0;791.0;2373
24;Assem;Rock;3956.0;828.0;17692.0;-4448.0;2003.0;1874.0;2476
25;Assem;Rock;4024.0;420.0;18692.0;-4400.0;2854.0;292.0;2580
