id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Rock;1380.0;2324.0;17556.0;-4992.0;2263.0;189.0;0
1;Mohammad;Rock;1340.0;2324.0;17400.0;-4960.0;2876.0;399.0;103
2;Mohammad;Rock;7008.0;2988.0;20332.0;-4976.0;1336.0;9623.0;206
3;Mohammad;Rock;2756.0;7984.0;27604.0;-4976.0;-6190.0;8247.0;310
4;Mohammad;Rock;-18436.0;2632.0;25220.0;-4976.0;-24410.0;17811.0;412
5;Mohammad;Rock;1400.0;96.0;14184.0;-4992.0;-32768.0;32767.0;515
6;Mohammad;Rock;-12480.0;-8008.0;-11560.0;-4960.0;-13475.0;18899.0;619
7;Mohammad;Rock;1140.0;-8048.0;-13416.0;-4976.0;12854.0;1204.0;722
8;Mohammad;Rock;8724.0;-3048.0;-2976.0;-4976.0;31882.0;2931.0;825
9;Mohammad;Rock;13044.0;-1264.0;12104.0;-4976.0;32767.0;8567.0;928
10;Mohammad;Rock;12812.0;6504.0;19572.0;-4976.0;31901.0;12358.0;1032
11;Mohammad;Rock;-236.0;10600.0;27072.0;-4992.0;23717.0;8198.0;1135
12;Mohammad;Rock;2620.0;12736.0;26188.0;-4976.0;7062.0;4585.0;1237
13;Mohammad;Rock;-3616.0;7924.0;21124.0;-4960.0;-3327.0;5809.0;1341
14;Mohammad;Rock;-8628.0;156.0;13308.0;-4992.0;-4257.0;4027.0;1444
15;Mohammad;Rock;-2468.0;-200.0;14580.0;-4960.0;3763.0;242.0;1548
16;Mohammad;Rock;308.0;1416.0;18092.0;-4960.0;3281.0;685.0;1650
