id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Scissors;-996.0;2140.0;18856.0;-4432.0;2585.0;-475.0;0
1;Assem;Scissors;-308.0;2044.0;18064.0;-4416.0;2662.0;-269.0;103
2;Assem;Scissors;72.0;1896.0;17236.0;-4416.0;2725.0;81.0;206
3;Assem;Scissors;388.0;2604.0;17932.0;-4416.0;2226.0;-736.0;309
4;Assem;Scissors;1244.0;2236.0;20288.0;-4416.0;4040.0;-7905.0;412
5;Assem;Scissors;1808.0;1808.0;20588.0;-4432.0;821.0;-8644.0;516
6;Assem;Scissors;7792.0;2228.0;21032.0;-4416.0;-1589.0;-11903.0;618
7;Assem;Scissors;5736.0;848.0;12312.0;-4416.0;-458.0;-14089.0;722
8;Assem;Scissors;9928.0;-356.0;14016.0;-4400.0;3337.0;-15207.0;825
9;Assem;Scissors;17544.0;-452.0;12088.0;-4416.0;2812.0;-14615.0;929
10;Assem;Scissors;15660.0;-2092.0;7004.0;-4416.0;-953.0;-9516.0;1032
11;Assem;Scissors;13804.0;-3496.0;6396.0;-4400.0;1943.0;-4505.0;1135
12;Assem;Scissors;15812.0;-2772.0;6288.0;-4400.0;1531.0;-717.0;1238
13;Assem;Scissors;14468.0;-3112.0;7948.0;-4400.0;1684.0;-43.0;1341
14;Assem;Scissors;15440.0;-3872.0;6272.0;-4384.0;2554.0;1045.0;1445
15;Assem;Scissors;12780.0;-3760.0;7976.0;-4416.0;2408.0;271.0;1548
16;Assem;Scissors;14896.0;-3820.0;6620.0;-4400.0;2840.0;368.0;1651
