id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Assem;Scissors;584.0;2212.0;18452.0;-4416.0;3488.0;-641.0;0
1;Assem;Scissors;2232.0;2276.0;16628.0;-4416.0;1584.0;531.0;103
2;Assem;Scissors;1652.0;2352.0;17796.0;-4400.0;2861.0;379.0;206
3;Assem;Scissors;1440.0;2388.0;18824.0;-4432.0;2359.0;374.0;310
4;Assem;Scissors;1212.0;2232.0;16700.0;-4400.0;2172.0;139.0;413
5;Assem;Scissors;2968.0;2032.0;19024.0;-4416.0;3656.0;-3629.0;515
6;Assem;Scissors;6152.0;3308.0;26752.0;-4400.0;-270.0;-17736.0;619
7;Assem;Scissors;6628.0;588.0;15592.0;-4432.0;-3346.0;-19975.0;722
8;Assem;Scissors;13080.0;-72.0;12788.0;-4416.0;-2102.0;-19869.0;826
9;Assem;Scissors;12912.0;576.0;5620.0;-4416.0;2129.0;-21169.0;929
10;Assem;Scissors;12216.0;-4208.0;9328.0;-4400.0;2778.0;-14507.0;1033
11;Assem;Scissors;13300.0;-4980.0;412.0;-4384.0;2184.0;-7054.0;1135
12;Assem;Scissors;14232.0;-3612.0;2852.0;-4432.0;4235.0;-3337.0;1238
13;Assem;Scissors;15620.0;-3476.0;2112.0;-4400.0;2595.0;-15.0;1342
14;Assem;Scissors;15624.0;-4748.0;2232.0;-4400.0;2630.0;659.0;1445
15;Assem;Scissors;14808.0;-5208.0;1248.0;-4384.0;1903.0;722.0;1549
16;Assem;Scissors;16484.0;-4200.0;2772.0;-4416.0;1808.0;442.0;1652
17;Assem;Scissors;14620.0;-4752.0;1268.0;-4400.0;2011.0;1650.0;1755
