id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Yehia;Scissors;-2360.0;4956.0;-17352.0;-4480.0;1166.0;-466.0;0
1;Yehia;Scissors;-2300.0;5128.0;-14224.0;-4528.0;1890.0;-107.0;104
2;Yehia;Scissors;-2220.0;5160.0;-13348.0;-4528.0;2840.0;156.0;207
3;Yehia;Scissors;-1004.0;3372.0;-13776.0;-4544.0;3471.0;-676.0;310
4;Yehia;Scissors;-3092.0;6060.0;-23252.0;-4480.0;-490.0;-3205.0;413
5;Yehia;Scissors;-400.0;5644.0;-21112.0;-4512.0;3054.0;1867.0;517
6;Yehia;Scissors;-1248.0;5212.0;-21680.0;-4496.0;10103.0;4662.0;620
7;Yehia;Scissors;-4864.0;5732.0;-19564.0;-4496.0;17122.0;3395.0;723
8;Yehia;Scissors;-1548.0;3576.0;-18748.0;-4496.0;20873.0;1101.0;827
9;Yehia;Scissors;-2152.0;72.0;3444.0;-4480.0;9420.0;9013.0;929
10;Yehia;Scissors;1468.0;-3892.0;-6624.0;-4496.0;2273.0;546.0;1033
11;Yehia;Scissors;2508.0;-5212.0;-11952.0;-4528.0;935.0;-894.0;1136
12;Yehia;Scissors;520.0;-4960.0;-16152.0;-4512.0;499.0;-1963.0;1239
