id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Mohammad;Scissors;76.0;2456.0;18028.0;-4480.0;2326.0;452.0;0
1;Mohammad;Scissors;-496.0;2480.0;18040.0;-4464.0;3907.0;-787.0;103
2;Mohammad;Scissors;152.0;2576.0;21296.0;-4448.0;4121.0;-1363.0;206
3;Mohammad;Scissors;-1320.0;3236.0;25400.0;-4496.0;1101.0;-2066.0;310
4;Mohammad;Scissors;2424.0;4100.0;21792.0;-4480.0;-677.0;-3097.0;413
5;Mohammad;Scissors;-2344.0;924.0;12296.0;-4480.0;-2187.0;568.0;515
6;Mohammad;Scissors;1892.0;3296.0;20912.0;-4480.0;-3325.0;7605.0;619
7;Mohammad;Scissors;-2176.0;784.0;15372.0;-4464.0;-4139.0;7314.0;722
8;Mohammad;Scissors;-1024.0;-2528.0;8756.0;-4512.0;-1958.0;32.0;826
9;Mohammad;Scissors;-76.0;-3008.0;10424.0;-4480.0;2117.0;708.0;928
10;Mohammad;Scissors;-3328.0;-3284.0;18668.0;-4464.0;1927.0;807.0;1032
11;Mohammad;Scissors;-932.0;-2316.0;19612.0;-4464.0;3927.0;1686.0;1135
12;Mohammad;Scissors;-4620.0;-2844.0;15584.0;-4480.0;3550.0;573.0;1238
